"hit_index","original_stage","phrase_priority_tier","reader_plaintext","gordon_plaintext","ciphertext","reader_reflector","reader_start_left_to_right","reader_rings_left_to_right","reader_active_pairs","gordon_tier","gordon_literal_state_index","gordon_reflector","gordon_rotors_left_to_right","gordon_start_left_to_right","gordon_rings_left_to_right","gordon_plugboard_pair_count","gordon_plugboard_pairs","verification_ciphertext"
"13","stage_b_preferred16","1","DEATHWASERASED","MINDORDERCHAOS","WPOERUGXSHDGAG","B","GJM","MMM","PE UT","2","8899866239","B","II I V","SPR","VBO","6","AQ CY EM FR GJ UZ","WPOERUGXSHDGAG"
"13","stage_b_preferred16","1","DEATHWASERASED","MINDORDERCHAOS","WPOERUGXSHDGAG","B","GJM","MMM","PE UT","2","8911748291","B","II I V","TPR","WBO","6","AQ CY EM FR GJ UZ","WPOERUGXSHDGAG"
"13","stage_b_preferred16","1","DEATHWASERASED","MINDORDERCHAOS","WPOERUGXSHDGAG","B","GJM","MMM","PE UT","2","8923630343","B","II I V","UPR","XBO","6","AQ CY EM FR GJ UZ","WPOERUGXSHDGAG"
"13","stage_b_preferred16","1","DEATHWASERASED","MINDORDERCHAOS","WPOERUGXSHDGAG","B","GJM","MMM","PE UT","2","8935512395","B","II I V","VPR","YBO","6","AQ CY EM FR GJ UZ","WPOERUGXSHDGAG"
"13","stage_b_preferred16","1","DEATHWASERASED","MINDORDERCHAOS","WPOERUGXSHDGAG","B","GJM","MMM","PE UT","2","8947394447","B","II I V","WPR","ZBO","6","AQ CY EM FR GJ UZ","WPOERUGXSHDGAG"
"14","stage_b_preferred16","1","DEATHWASERASED","MINDCHAOSORDER","WPMPRUQXZHKGRG","B","GJM","MMM","AF UT","2","4636665300","C","I IV III","QIU","AGK","6","AG HU IZ JS LQ RT","WPMPRUQXZHKGRG"
"14","stage_b_preferred16","1","DEATHWASERASED","MINDCHAOSORDER","WPMPRUQXZHKGRG","B","GJM","MMM","AF UT","2","4648547352","C","I IV III","RIU","BGK","6","AG HU IZ JS LQ RT","WPMPRUQXZHKGRG"
"14","stage_b_preferred16","1","DEATHWASERASED","MINDCHAOSORDER","WPMPRUQXZHKGRG","B","GJM","MMM","AF UT","2","4660429404","C","I IV III","SIU","CGK","6","AG HU IZ JS LQ RT","WPMPRUQXZHKGRG"
"14","stage_b_preferred16","1","DEATHWASERASED","MINDCHAOSORDER","WPMPRUQXZHKGRG","B","GJM","MMM","AF UT","2","4672311456","C","I IV III","TIU","DGK","6","AG HU IZ JS LQ RT","WPMPRUQXZHKGRG"
"14","stage_b_preferred16","1","DEATHWASERASED","MINDCHAOSORDER","WPMPRUQXZHKGRG","B","GJM","MMM","AF UT","2","4684193508","C","I IV III","UIU","EGK","6","AG HU IZ JS LQ RT","WPMPRUQXZHKGRG"
"14","stage_b_preferred16","1","DEATHWASERASED","MINDCHAOSORDER","WPMPRUQXZHKGRG","B","GJM","MMM","AF UT","2","4696075560","C","I IV III","VIU","FGK","6","AG HU IZ JS LQ RT","WPMPRUQXZHKGRG"
"14","stage_b_preferred16","1","DEATHWASERASED","MINDCHAOSORDER","WPMPRUQXZHKGRG","B","GJM","MMM","AF UT","2","4707957612","C","I IV III","WIU","GGK","6","AG HU IZ JS LQ RT","WPMPRUQXZHKGRG"
"14","stage_b_preferred16","1","DEATHWASERASED","MINDCHAOSORDER","WPMPRUQXZHKGRG","B","GJM","MMM","AF UT","2","4719839664","C","I IV III","XIU","HGK","6","AG HU IZ JS LQ RT","WPMPRUQXZHKGRG"
"14","stage_b_preferred16","1","DEATHWASERASED","MINDCHAOSORDER","WPMPRUQXZHKGRG","B","GJM","MMM","AF UT","2","4731721716","C","I IV III","YIU","IGK","6","AG HU IZ JS LQ RT","WPMPRUQXZHKGRG"
"14","stage_b_preferred16","1","DEATHWASERASED","MINDCHAOSORDER","WPMPRUQXZHKGRG","B","GJM","MMM","AF UT","2","4743603768","C","I IV III","ZIU","JGK","6","AG HU IZ JS LQ RT","WPMPRUQXZHKGRG"
"14","stage_b_preferred16","1","DEATHWASERASED","MINDCHAOSORDER","WPMPRUQXZHKGRG","B","GJM","MMM","AF UT","2","4755468244","C","I IV III","AIU","KGK","6","AG HU IZ JS LQ RT","WPMPRUQXZHKGRG"
"14","stage_b_preferred16","1","DEATHWASERASED","MINDCHAOSORDER","WPMPRUQXZHKGRG","B","GJM","MMM","AF UT","2","4767350296","C","I IV III","BIU","LGK","6","AG HU IZ JS LQ RT","WPMPRUQXZHKGRG"
"14","stage_b_preferred16","1","DEATHWASERASED","MINDCHAOSORDER","WPMPRUQXZHKGRG","B","GJM","MMM","AF UT","2","4779232348","C","I IV III","CIU","MGK","6","AG HU IZ JS LQ RT","WPMPRUQXZHKGRG"
"14","stage_b_preferred16","1","DEATHWASERASED","MINDCHAOSORDER","WPMPRUQXZHKGRG","B","GJM","MMM","AF UT","2","4791114400","C","I IV III","DIU","NGK","6","AG HU IZ JS LQ RT","WPMPRUQXZHKGRG"
"14","stage_b_preferred16","1","DEATHWASERASED","MINDCHAOSORDER","WPMPRUQXZHKGRG","B","GJM","MMM","AF UT","2","4802996452","C","I IV III","EIU","OGK","6","AG HU IZ JS LQ RT","WPMPRUQXZHKGRG"
